Mili,Poljicak,278830
Alexis,Galarneau,3900654
Michail,Pervolarakis,2970745
Dragos Nicolae,Madaras,2631368
Rio,Noguchi,87295
Yuta,Shimizu,125079
Gilles Arnaud,Bailly,301306
Adam,Moundir,1607970
Louis,Wessels,4373182
Omni,Kumar,85362
Benjamin,Lock,51315
Ugo,Blanchet,167843
Aziz,Dougaz,2733446
Javier,Barranco Cosano,4268511
Sebastian,Fanselow,5066407
Luka,Mikrut,278836
Maks,Kasnikowski,274835
Kyrian,Jacquet,273221
Fajing,Sun,56797
Raphael,Collignon,5004527
Theo,Papamalamis,4207438