Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Rank_1,Rank_2,Player_1 UTR,Player_2 UTR
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,3,3,J.Draper,M.Berrettini,6,31,16.07,15.88
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,3,3,F. Tiafoe,A. Muller,17,39,15.52,15
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,3,3,S. Tsitsipas,L. Musetti,18,11,15.76,15.77
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,3,3,A. De Minaur,D. Shapovalav,7,30,15.98,15.76
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,3,3,C. Norrie,G. Diallo,91,78,15.3,15.4
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,3,3,K Khachanov,T. Paul,25,12,15.71,15.82
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,4,3,J Mensik,A Bublik,23,75,15.67,15.04
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,4,3,A Zverev,F. Cerundolo,2,21,16,15.7
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,4,3,D Medvedev,B Nakashima,10,32,15.73,15.4
Madrid Open,04/29/25,Masters 1000,Outdoor,Clay,4,3,T. Fritz,C. Ruud,4,15,15.82,15.62